id,neighbourhood_group_name,neighbourhood_Name
3391873,Auckland,Maungakiekie-Tāmaki Ward
3457134,Queenstown-Lakes District,Queenstown-Wakatipu Ward
3477111,Auckland,Waitematā and Gulf Ward
3480682,Wellington City,Motukairangi/Eastern Ward
3498611,Christchurch City,Banks Peninsula Ward
3499473,Rotorua District,Area Outside Ward
3500981,Far North District,Bay of Islands-Whangaroa Ward
3517796,Queenstown-Lakes District,Queenstown-Wakatipu Ward
3533315,Christchurch City,Harewood Ward
3553410,Whangarei District,Whangarei Heads Ward
3554668,Far North District,Bay of Islands-Whangaroa Ward
3570982,Auckland,Waitematā and Gulf Ward
3586333,Far North District,Bay of Islands-Whangaroa Ward
3587612,Queenstown-Lakes District,Wanaka Ward
3604455,Christchurch City,Harewood Ward
3616568,Wellington City,Wharangi/Onslow-Western Ward
3624601,Far North District,Te Hiku Ward
3628200,Tasman District,Golden Bay Ward
3638319,Auckland,Ōrākei Ward
3639137,Auckland,Ōrākei Ward
3639428,Gisborne District,Gisborne Ward
3641262,Auckland,Ōrākei Ward
3648057,Auckland,Waitematā and Gulf Ward
